lat;lng;couvert;capacite;payant;type
48.8378576949;2.21226509969;NON;10;NON;ratelier
48.9017693949;2.20873579969;NON;12;NON;arceaux
48.8645839949;2.21019489969;NON;4;NON;arceaux
48.8894107949;2.21043459969;NON;2;NON;arceaux
48.9041740949;2.21104909969;OUI;24;NON;arceaux
48.9036704949;2.21164769969;NON;4;NON;arceaux
48.9038188949;2.21168319969;OUI;18;NON;arceaux
48.8466685949;2.21424669969;NON;4;NON;arceaux
48.9041946949;2.21305389969;NON;20;NON;arceaux
48.8564664949;2.21612289969;NON;6;NON;arceaux
48.8566220949;2.21620529969;NON;20;NON;arceaux
48.8984561949;2.21573749969;NON;14;NON;arceaux
48.8955423949;2.21596279969;NON;12;NON;arceaux
48.9039958949;2.21620129969;NON;20;NON;arceaux
48.7119392949;2.21793589969;NON;14;NON;ratelier
48.7111724949;2.21826789969;NON;4;NON;ratelier
48.7117703949;2.21893329969;OUI;15;NON;ratelier
48.7848250949;2.22030039969;NON;16;NON;arceaux
48.7421293949;2.22553459969;NON;10;NON;arceaux
48.7411193949;2.22573389969;NON;5;NON;ratelier
48.8256924949;2.21737979969;NON;8;NON;arceaux
48.8438504949;2.21842089969;NON;4;NON;arceaux
48.8421280949;2.21978749969;NON;0;NON;inconnu
48.8903883949;2.21796409969;NON;4;NON;arceaux
48.8968048949;2.21784749969;NON;14;NON;arceaux
48.8890670949;2.21862269969;NON;6;NON;arceaux
48.8403525949;2.22482419969;NON;0;NON;inconnu
48.8953027949;2.22174789969;NON;6;NON;arceaux
48.8958013949;2.22170089969;NON;6;NON;arceaux
48.8971836949;2.22292489969;NON;14;NON;arceaux
48.8944158949;2.22468109969;NON;4;NON;arceaux
48.8817154949;2.22523119969;NON;18;NON;arceaux
48.8880900949;2.22529339969;NON;6;NON;arceaux
48.8899584949;2.22591479969;NON;10;NON;arceaux
49.0239311949;2.21127239969;NON;4;NON;arceaux
49.0155815949;2.21379219969;NON;10;NON;arceaux
48.9083185949;2.21701739969;NON;6;NON;arceaux
48.9230625449;2.21802794969;OUI;48;OUI;abri
48.9079756949;2.21809829969;NON;6;NON;arceaux
48.9075983949;2.21866559969;NON;8;NON;arceaux
48.9103222949;2.22034999969;NON;6;NON;inconnu
48.9923258949;2.21886469969;NON;2;NON;arceaux
48.9924753949;2.21971559969;NON;6;NON;inconnu
48.9117111949;2.22282869969;NON;12;NON;arceaux
48.9959032949;2.22259349969;NON;4;NON;ratelier
48.9531929949;2.22499159969;NON;0;NON;inconnu
48.7321667949;2.22827379969;NON;4;NON;arceaux
48.7412493949;2.22635749969;NON;8;NON;arceaux
48.7173742949;2.23226296177;OUI;0;NON;inconnu
48.7183141949;2.23251755057;OUI;0;NON;inconnu
48.8405982949;2.22788779969;NON;20;NON;inconnu
48.8251056949;2.23016909969;NON;14;NON;arceaux
48.8249690949;2.23032399969;NON;10;NON;arceaux
48.8759372949;2.22627469969;NON;6;NON;arceaux
48.8904577949;2.22669759969;NON;10;NON;arceaux
48.8953310949;2.22633179969;NON;12;NON;arceaux
48.8950318949;2.22637359969;NON;14;NON;arceaux
48.8930511949;2.22756909969;NON;6;NON;arceaux
48.8898428949;2.22966299969;NON;10;NON;arceaux
48.8244965949;2.23141769969;NON;0;NON;inconnu
48.8301965949;2.23203379969;NON;0;NON;inconnu
48.8304122949;2.23268009969;NON;0;NON;inconnu
48.8446962949;2.23246359969;NON;0;NON;inconnu
48.8133086949;2.23335679969;NON;6;NON;arceaux
48.8260285949;2.23421389969;NON;0;NON;inconnu
48.8378865949;2.2340678997;NON;38;NON;arceaux
48.8396393949;2.23389319969;NON;0;NON;inconnu
48.8436707949;2.23451039969;NON;0;NON;inconnu
48.8933461949;2.23070129969;NON;10;NON;arceaux
48.8932622949;2.23075409969;NON;4;NON;arceaux
48.8921349949;2.23212489969;NON;4;NON;arceaux
48.8933402949;2.23208199969;NON;10;NON;arceaux
48.9015833949;2.23237579969;NON;8;NON;ratelier
48.8978144949;2.23392849969;NON;8;NON;arceaux
48.9040301949;2.23375199969;NON;10;NON;arceaux
48.9010611949;2.23402699969;NON;60;NON;arceaux
48.7187846949;2.23590009969;OUI;11;NON;ratelier
48.7285342949;2.23673859969;NON;12;NON;arceaux
48.7117273949;2.24147369969;OUI;20;NON;ratelier
48.7234197949;2.24131139969;NON;3;NON;ratelier
48.7137850949;2.24323729969;NON;6;NON;arceaux
48.8290569949;2.23663629969;OUI;8;NON;arceaux
48.8127059949;2.23842709969;NON;0;NON;inconnu
48.8454536949;2.23869169969;NON;0;NON;inconnu
48.8376659949;2.23958869969;NON;0;NON;inconnu
48.8895657949;2.23605559969;NON;14;NON;arceaux
48.8878756949;2.23697629969;NON;10;NON;arceaux
48.8993760949;2.23662439969;NON;6;NON;arceaux
48.8930305949;2.23788369969;NON;14;NON;arceaux
48.8953639949;2.23863389969;NON;10;NON;arceaux
48.8937117949;2.23879439969;NON;12;NON;arceaux
48.8998303949;2.23885079969;NON;4;NON;arceaux
48.8938522949;2.23958719969;NON;10;NON;inconnu
48.8937476949;2.23966439969;OUI;0;NON;inconnu
48.8972034949;2.23986279969;NON;8;NON;arceaux
48.9032593949;2.23963999969;NON;8;NON;arceaux
48.8077546949;2.24082629969;OUI;0;NON;arceaux
48.8376699949;2.24019439969;NON;0;NON;inconnu
48.8414653949;2.24030919969;NON;0;NON;inconnu
48.8473180949;2.24053439969;NON;0;NON;inconnu
48.8459792949;2.24084709969;NON;0;NON;inconnu
48.8454359949;2.24115329969;NON;0;NON;inconnu
48.8470721949;2.24180959969;NON;0;NON;arceaux
48.8352476949;2.24240169969;NON;8;NON;arceaux
48.8441716949;2.24255659969;NON;0;NON;inconnu
48.8369720949;2.24350489969;NON;0;NON;inconnu
48.8848179949;2.23993109969;NON;2;NON;arceaux
48.8884612949;2.24020039969;NON;12;NON;arceaux
48.9024037949;2.24066909969;NON;4;NON;arceaux
48.8903442949;2.24177079969;NON;26;NON;arceaux
48.8936434949;2.24270069969;NON;10;NON;arceaux
48.9030546949;2.24222509969;NON;6;NON;arceaux
48.9150475949;2.22863669969;NON;12;NON;arceaux
48.9142497949;2.22902619969;NON;8;NON;arceaux
48.9097543949;2.23040159969;NON;10;NON;inconnu
48.9841813949;2.22796469969;NON;4;NON;arceaux
48.9047357949;2.23374119969;NON;6;NON;arceaux
48.9089481949;2.23406339969;NON;4;NON;arceaux
48.9111494949;2.23381339969;NON;8;NON;arceaux
48.9459030949;2.23349379969;NON;0;NON;inconnu
48.9805094949;2.23119159969;NON;6;NON;arceaux
49.0244024949;2.22765259969;NON;4;NON;arceaux
48.9092312949;2.23586459969;NON;12;NON;arceaux
48.9078448949;2.23841069969;NON;8;NON;arceaux
48.9068960949;2.23854859969;NON;12;NON;arceaux
48.9047303949;2.23964839969;NON;8;NON;arceaux
48.9127591949;2.23945809969;NON;6;NON;arceaux
48.9933582449;2.23561434969;OUI;20;NON;arceaux
48.9854870949;2.23692829969;NON;4;NON;arceaux
48.9048892949;2.24200159969;NON;2;NON;arceaux
49.0112917949;2.23587551242;OUI;0;NON;inconnu
49.0156769449;2.24303598069;OUI;40;OUI;arceaux
48.5911365949;2.24836969969;NON;6;NON;arceaux
48.6946593949;2.24631979969;OUI;5;NON;abri
48.7062440949;2.25483859969;OUI;48;NON;arceaux
48.7084880949;2.27359989968;NON;8;NON;arceaux
48.6904295949;2.27978149968;NON;8;NON;arceaux
48.7140726949;2.24715609969;NON;6;NON;arceaux
48.7218482949;2.24888979969;NON;8;NON;arceaux
48.7817002949;2.24815839969;OUI;6;NON;ratelier
48.7814357949;2.24894029969;NON;8;NON;arceaux
48.7908062949;2.25055939969;NON;12;NON;arceaux
48.8381590949;2.24531039969;NON;0;NON;inconnu
48.8268209949;2.24740739969;NON;0;NON;inconnu
48.8705565949;2.24523689969;NON;8;NON;arceaux
48.8705212949;2.24536029969;NON;10;NON;arceaux
48.8975551949;2.24516899969;NON;6;NON;arceaux
48.8904105949;2.24579889969;OUI;16;NON;arceaux
48.8929987949;2.24602419969;NON;4;NON;arceaux
48.8934399949;2.24670879969;NON;6;NON;arceaux
48.8854223949;2.24703329969;NON;5;NON;ratelier
48.8958634949;2.24707659969;NON;10;NON;arceaux
48.8983302949;2.24781279969;OUI;10;NON;arceaux
48.8913151949;2.24843359969;NON;6;NON;arceaux
48.8873799949;2.24878149969;NON;8;NON;arceaux
48.8876370949;2.24877839969;NON;12;NON;arceaux
48.8283644949;2.25038449969;NON;0;NON;inconnu
48.8391784949;2.25117419969;NON;0;NON;inconnu
48.8203067949;2.25335029969;NON;6;NON;arceaux
48.8201382949;2.25353049969;NON;8;NON;arceaux
48.8958730949;2.24913179969;NON;2;NON;arceaux
48.8983224949;2.25058989969;NON;8;NON;arceaux
48.8880729949;2.25159429969;OUI;6;NON;arceaux
48.8992319949;2.25158609969;NON;4;NON;arceaux
48.7264859949;2.25723359969;NON;11;NON;arceaux
48.7767238949;2.25534489969;NON;6;NON;ratelier
48.7834374949;2.25505759969;NON;10;NON;arceaux
48.7866006451;2.2578449942;NON;0;NON;inconnu
48.7344516949;2.26032199969;NON;4;NON;arceaux
48.7236581949;2.26256539969;NON;50;NON;autres
48.8005249949;2.26152309969;NON;3;NON;arceaux
48.8915155949;2.25465849969;NON;4;NON;arceaux
48.8959840949;2.25384159969;NON;10;NON;arceaux
48.8938701949;2.25455629969;NON;6;NON;arceaux
48.8970182949;2.25514019969;NON;6;NON;arceaux
48.8244725949;2.26006839969;NON;8;NON;arceaux
48.8281726949;2.26076829969;NON;14;NON;arceaux
48.8369088949;2.26129899969;NON;6;NON;arceaux
48.8361412949;2.26239019969;NON;2;NON;inconnu
48.8999024949;2.25960969969;NON;6;NON;arceaux
48.9006697949;2.26033159969;NON;6;NON;arceaux
48.9713389949;2.25695219969;OUI;0;NON;inconnu
48.9856416949;2.25626019969;OUI;8;NON;arceaux
48.9242677949;2.25913609969;NON;10;NON;arceaux
48.9240104949;2.25937889969;OUI;96;OUI;abri
48.9890676949;2.25843779969;NON;5;NON;inconnu
48.9972957949;2.25854649969;NON;6;NON;arceaux
48.7229367949;2.26336109968;NON;12;NON;arceaux
48.7269651949;2.26362999968;NON;16;NON;arceaux
48.7261055949;2.26444479968;OUI;20;NON;ratelier
48.7376465949;2.26438999968;NON;8;NON;arceaux
48.7468304949;2.26741359968;NON;4;NON;arceaux
48.7246938949;2.26822539968;NON;8;NON;arceaux
48.7246548949;2.26876439968;NON;8;NON;arceaux
48.7297785949;2.26889259968;NON;8;NON;arceaux
48.8523278949;2.26379819968;NON;6;NON;inconnu
48.8443587949;2.27180079968;NON;2;NON;inconnu
48.8670181949;2.27147459968;NON;4;NON;inconnu
48.9022469949;2.27122039968;NON;2;NON;arceaux
48.7207114949;2.27558079968;OUI;0;NON;ratelier
48.7314381949;2.27662279968;OUI;4;NON;arceaux
48.7701478949;2.27283009968;NON;12;NON;arceaux
48.7257475949;2.27706309968;OUI;48;NON;ratelier
48.7249803949;2.27792559968;OUI;12;NON;ratelier
48.7311480949;2.27785069968;NON;2;NON;arceaux
48.7196833949;2.27971399968;OUI;22;NON;ratelier
48.7590862949;2.27999109968;NON;12;NON;ratelier
48.8241856949;2.27311849968;OUI;12;NON;arceaux
48.8356837949;2.27243339968;OUI;180;NON;arceaux
48.8387941949;2.27213649968;NON;2;NON;inconnu
48.8387698949;2.27216339968;NON;4;NON;inconnu
48.8468397949;2.27410539968;NON;2;NON;inconnu
48.8293918949;2.27645239968;NON;16;NON;arceaux
48.8392688949;2.27581239968;NON;0;NON;inconnu
48.8385808949;2.27604669968;NON;0;NON;inconnu
48.8389647949;2.27611799968;NON;16;NON;inconnu
48.8616149949;2.27548319968;NON;0;NON;inconnu
48.8789103949;2.27652889968;NON;0;NON;inconnu
48.8302112949;2.27762209968;NON;12;NON;arceaux
48.8397009949;2.27808379968;NON;2;NON;inconnu
48.8282128949;2.27923919968;NON;24;NON;arceaux
48.8360520949;2.27916099968;NON;28;NON;arceaux
48.8471892949;2.27934059968;NON;10;NON;arceaux
48.8450468949;2.28012419968;NON;8;NON;arceaux
48.8459754949;2.28127409968;NON;8;NON;arceaux
48.8639587949;2.27688009968;NON;16;NON;arceaux
48.8595468949;2.27748019968;NON;4;NON;arceaux
48.8685120949;2.27875399968;NON;10;NON;inconnu
48.8821119949;2.27876030891;NON;0;NON;arceaux
48.9040356949;2.27807799968;NON;8;NON;arceaux
48.8659679949;2.27959549968;NON;0;NON;inconnu
48.8737771949;2.28029599968;NON;8;NON;inconnu
48.9068442949;2.26380539968;NON;8;NON;arceaux
48.9141441949;2.26354479968;NON;6;NON;arceaux
48.9191292949;2.26802379968;NON;6;NON;arceaux
48.9048536949;2.27013129968;NON;10;NON;arceaux
48.9811229949;2.27161039968;NON;20;NON;arceaux
48.9110030949;2.27217599968;NON;2;NON;inconnu
48.9055620949;2.27309319968;NON;4;NON;arceaux
48.9152639949;2.27713849968;NON;10;NON;arceaux
48.9065336949;2.27942379968;NON;2;NON;arceaux
